"Key","Binomial","Sex","Phylo","Time.difference","Dorsal.photo","Dorsal.URL","Dorsal.time","Dorsal.cryptic.BG","Dorsal.Time.lower","Dorsal.Time.upper","Dorsal.Rank","Dorsal.Rank.lower","Dorsal.Rank.upper","Dorsal.Class","Dorsal.Time.range.pc","Ventral.photo","Ventral.URL","Ventral.time","Ventral.cryptic.BG","Ventral.Time.lower","Ventral.Time.upper","Ventral.Rank","Ventral.Rank.lower","Ventral.Rank.upper","Ventral.Class","Ventral.Time.range.pc","Dorsal.bush1","Dorsal.bush2","Dorsal.bush3","Dorsal.depth1","Dorsal.depth2","Dorsal.depth3","Dorsal.flower1","Dorsal.flower2","Dorsal.flower3","Dorsal.grass1","Dorsal.grass2","Dorsal.grass3","Dorsal.litter1","Dorsal.litter2","Dorsal.litter3","Dorsal.moss1","Dorsal.moss2","Dorsal.moss3","Dorsal.rock1","Dorsal.rock2","Dorsal.rock3","Dorsal.sand1","Dorsal.sand2","Dorsal.sand3","Dorsal.smallrock1","Dorsal.smallrock2","Dorsal.smallrock3","Dorsal.tree1","Dorsal.tree2","Dorsal.tree3","Ventral.bush1","Ventral.bush2","Ventral.bush3","Ventral.depth1","Ventral.depth2","Ventral.depth3","Ventral.flower1","Ventral.flower2","Ventral.flower3","Ventral.grass1","Ventral.grass2","Ventral.grass3","Ventral.litter1","Ventral.litter2","Ventral.litter3","Ventral.moss1","Ventral.moss2","Ventral.moss3","Ventral.rock1","Ventral.rock2","Ventral.rock3","Ventral.sand1","Ventral.sand2","Ventral.sand3","Ventral.smallrock1","Ventral.smallrock2","Ventral.smallrock3","Ventral.tree1","Ventral.tree2","Ventral.tree3","N.daphnia","deaths","Daphnia.mortality.p"
"Arhopala micale","Arhopala micale",NA,"BN004507_EI16D223_Lycaenidae_Theclinae_Arhopalini_Arhopala_thamyras",-6445.55555555556,134,"134 (1).png",3091.88888888889,"moss1.jpg",2692.87037037037,4758.41764705882,3,1,11,"Conspicuous",61.393120481416,412,"412 (1).png",9537.44444444445,"litter1.jpg",8981.26851851852,10000,111,85.5,119.25,"Cryptic",83.2897870911781,1811.81818181818,1382.38461538462,1702.4375,2443.30769230769,1632.77777777778,1855.09090909091,2147,1201.6875,2091.18181818182,2301.95652173913,1436.125,1359.59259259259,1651.07142857143,1643.08333333333,1290.25,3091.88888888889,1384.91666666667,2210.84615384615,1332.65,2445.75,1193.68181818182,1718.25,1735.58823529412,1725.78947368421,2160.8125,2469.63636363636,1675.61111111111,1929.29411764706,1715.11111111111,2288.21428571429,3753.61904761905,3145.61111111111,6358.66666666667,3268.57894736842,3664.78571428571,3575.22222222222,4783.69565217391,2443.72727272727,1593.72727272727,2394.5625,2267.29411764706,6471.15384615385,9537.44444444445,8410.05555555555,7762.7037037037,8153.75,6021.07142857143,5213.15789473684,5416.63157894737,2422.18181818182,3250.52380952381,4567.86363636364,3806.53333333333,1725.9375,3212.23529411765,6933.16,8954.30769230769,4508.75,3214.78571428571,5194.81818181818,50,14,0.28
"Arrhenes dschilus","Arrhenes dschilus",NA,"BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus",-17.6666666666661,415,"415 (3).png",9967,"moss1.jpg",9877.15,10000,120,108,120.25,"Cryptic",84.7058930835393,754,"754 (1).png",9984.66666666667,"moss3.jpg",9958.36363636364,10000,121,111,120,"Cryptic",81.8154503572144,4618.52380952381,2484.53846153846,6264.76923076923,6505.5,7165.4,3879.57894736842,6390.45454545455,3924.32,1524.36363636364,2928.85714285714,6767.5,8664.85,8961.92592592593,6768.5625,6536.45,9967,8367.46153846154,9510.58823529412,3145.46666666667,2852.70588235294,3097.1,1923.8,7208.4,4523.91666666667,2802.58823529412,2659.73684210526,7431.8,2726.31818181818,2118.95238095238,5073.45454545455,3303.375,2296.46153846154,5730.77777777778,4021.6,6376.86666666667,4147.83333333333,6351.11764705882,3484.53846153846,1815.66666666667,2407.83333333333,3747.05,8646.66666666667,7872.55555555556,7603.6,5044.4,9174.82608695652,8860.8,9984.66666666667,2299.47368421053,3841.95238095238,3996.19047619048,3615.28571428571,6435.36842105263,5000.25,2547.36842105263,4737.82352941176,8956.35294117647,3055.61538461538,2315.47058823529,3905.875,120,20,0.166666667
"Belenois java","Belenois java",NA,"BN002237_LEP46735_Pieridae_Pierinae_Pierini_Belenois_java",1261.18796992481,1184,"1184 (1).png",5396.71428571429,"flower1.jpg",4333,6615.33272727273,23,9,32,"Conspicuous",78.3500746282333,768,"768 (1).png",4135.52631578947,"depth2.jpg",3679.58516483516,5703.29166666667,8,3,22.5,"Conspicuous",70.4834022695938,2290.47368421053,1532.64285714286,2721.7,2293.08695652174,2617.35714285714,1291.94736842105,5396.71428571429,2173.61111111111,2937,1878.05263157895,1168.38461538462,2726.88888888889,3134.69230769231,2406.86363636364,1634,3200.47368421053,3822.05882352941,2414.63636363636,1906.61538461538,1187.09090909091,3765.54166666667,2021.05263157895,1780.625,1617.72222222222,1818.73913043478,1671.17647058824,2138.84615384615,4576.72727272727,2273.13333333333,2174.08695652174,2626.75,1834.2,2925.2962962963,2158.625,4135.52631578947,2284.8,2227.5,1848.70588235294,1601.52631578947,1797.38095238095,1252.4,2961.6875,2306.13043478261,3300.89473684211,1858.25,3322.9375,3216.66666666667,2148.4,1587.16666666667,2222.78260869565,3507.25,2196.36363636364,1801.69565217391,1551.78571428571,1408.58823529412,1931.88235294118,1645.22222222222,2077.72222222222,1220.66666666667,1697.63157894737,111,19,0.170247934
"Candalides absimilis","Candalides absimilis",NA,"RE05D052_X_Lycaenidae_Theclinae_Candalidini_Candalides_xanthospilos_X_ME",-138.303405572755,987,"987 (1).png",3918.11764705882,"grass3.jpg",3487.80416666667,5506.06944444444,5,2,21,"Conspicuous",67.4239383288873,1527,"1527 (1).png",4056.42105263158,"smallrock3.jpg",3682.11079545455,6046.65,6,3,27.5,"Conspicuous",72.7113837023288,2244.58333333333,1309,1411.61111111111,2190,3574.47368421053,2612.78571428571,2301.84615384615,2352.6,1400.25,1775.72222222222,2436.66666666667,3918.11764705882,2346.5625,1446.82352941176,1519.92307692308,2996.12,3260.05,2071.86666666667,2399.66666666667,1788.05263157895,2576.52380952381,1952.41176470588,1284.1724137931,1276.36842105263,1432.36842105263,2312,2059.11764705882,3173.52631578947,1812.36842105263,2390.86363636364,2097.92307692308,1338.94444444444,2070,1945.23076923077,1900.64285714286,1798,3881.75,1762.71428571429,1975.75,1887,1106.94117647059,3133.76470588235,2557.90476190476,2664.76470588235,1789.33333333333,3763.6,3320.2,2147,2177.95652173913,1585.65,2684.45833333333,2449.58823529412,1789.86363636364,1679.10714285714,1736.95833333333,2432,4056.42105263158,3225,2067.5,3659.85714285714,40,26,0.65
"Candalides hyacinthinus","Candalides hyacinthinus",NA,"RE05D052_X_Lycaenidae_Theclinae_Candalidini_Candalides_xanthospilos_X_ME",2150.9375,3689,"3689 (1).png",9692.0625,"litter1.jpg",9117.35561497326,10000,113,86.5,121,"Cryptic",83.6765050438611,3636,"3636 (1).png",7541.125,"litter1.jpg",6187.59166666667,9126.06746031746,51,27,89.5,"Cryptic",81.1735348144041,4559.69565217391,2413.04,3998.65,2868.81818181818,4032.88461538462,4747.42857142857,5863.30769230769,2878.38888888889,1582.08333333333,1725.25,2497.95238095238,5353.38095238095,9692.0625,5701.125,6293.66666666667,7923.8947368421,7148.5,6688.55555555556,6268.90909090909,1643.25,8116.66666666667,4637.70588235294,3611.08333333333,2511.46153846154,2799.92,4219,7042.15789473684,6065.54166666667,4225.07692307692,8208.875,1973.05555555556,2044.42105263158,1492,2975.6,2536.94444444444,2908.57894736842,2596.94444444444,2342.22222222222,2783.30769230769,2046.73684210526,1419.72727272727,4314.05555555556,7541.125,3675.57142857143,3068.5,5538.2380952381,4205.90476190476,2829.92857142857,3322.19047619048,1958.38888888889,3552.41666666667,2167,2177.5,2945.57894736842,2618.75,3859.58333333333,3952.26086956522,3912.47058823529,2039.32,6090.5,50,6,0.12
"Catopsilia pomona_Female","Catopsilia pomona","female","BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla",-854.641666666666,1077,"1077 (1).png",4268.73333333333,"flower1.jpg",4020.72850678733,6218.40303030303,9,5,28,"Conspicuous",70.6560404035065,2779,"2779 (1).png",5123.375,"litter2.jpg",5164.76442307692,7556.33333333333,20,17,44.5,"Conspicuous",69.3456274128195,3245.95,2090.78947368421,2154.69230769231,2760.79166666667,3843.33333333333,2249,4268.73333333333,2752.83333333333,2901.45,1723.55555555556,1920.09090909091,3765.94444444444,4190.15789473684,2365.63636363636,1723.3125,3195.42105263158,3877,2290.64,1252.61538461538,2279.23076923077,2159.78260869565,2234.41176470588,1826.06666666667,2836,2141.73913043478,2045.9,2869.88235294118,2868,1795.11764705882,3446.33333333333,2986.71428571429,2030.61904761905,2523.26666666667,2516.61111111111,2687.45454545455,2665.24,4566.75,1962.58333333333,3117.83333333333,2047.8,2128.05882352941,4694.33333333333,3256.125,5123.375,3334.16666666667,4897.47058823529,4700.76,3820.72727272727,3474.53846153846,2835.61904761905,2483.57142857143,2876.88235294118,1570.53846153846,4272.91304347826,2157.2,4311.68421052632,4405.93333333333,3465.63636363636,2040.65217391304,3397.22222222222,50,4,0.08
"Catopsilia pomona_Male","Catopsilia pomona","male","BN002319_DL13F181_Pieridae_Coliadinae_X_Catopsilia_scylla",-771.682692307692,69,"69 (1).png",4351.69230769231,"flower1.jpg",3499.83333333333,6601.34848484848,12,3,30.5,"Conspicuous",71.2946923095053,2779,"2779 (1).png",5123.375,"litter2.jpg",5164.76442307692,7556.33333333333,20,17,44.5,"Conspicuous",69.3456274128195,2532.82352941176,1571.45,2423.15384615385,2847.5652173913,2519.39130434783,2135.80952380952,4351.69230769231,1402.1,2193,1573.85,1249.16666666667,3662.20833333333,3078.70588235294,2905.8275862069,1686.86363636364,2325.125,2825.57142857143,2501.89473684211,2080.52380952381,1351.33333333333,2253.25,1359,1910.81818181818,1406.90909090909,1592.5,2643.94117647059,1551.0625,3383.05882352941,2173.64285714286,1589.07692307692,2986.71428571429,2030.61904761905,2523.26666666667,2516.61111111111,2687.45454545455,2665.24,4566.75,1962.58333333333,3117.83333333333,2047.8,2128.05882352941,4694.33333333333,3256.125,5123.375,3334.16666666667,4897.47058823529,4700.76,3820.72727272727,3474.53846153846,2835.61904761905,2483.57142857143,2876.88235294118,1570.53846153846,4272.91304347826,2157.2,4311.68421052632,4405.93333333333,3465.63636363636,2040.65217391304,3397.22222222222,50,16,0.32
"Cephrenes augiades","Cephrenes augiades",NA,"BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades",0,1911,"1911 (1).png",10000,"moss2.jpg",10000,10000,122.5,117.25,121.25,"Cryptic",81.7142857142857,2708,"2708 (1) (1).png",10000,"litter1.jpg",10000,10000,122.5,117.25,121.25,"Cryptic",83.5955555555555,5087.88888888889,4578,8819.5625,7233.4,7565.18181818182,7144.23529411765,8254.72222222222,1893.9375,2241.06666666667,2472.9375,3871.54166666667,7353.59090909091,8253.3,6923.5,9536.35,9232.42105263158,10000,8140.28571428571,4517.58823529412,1859.26315789474,1863.16666666667,5390.38888888889,2956.68181818182,1828.57142857143,3742.47368421053,6604.125,7181.92857142857,3933.57894736842,2079.94736842105,2756.55555555556,3726.26666666667,1968.58333333333,6946.6,5407.36842105263,4130.53846153846,4543.36363636364,7398,2863,1640.44444444444,2035.77272727273,2761.05263157895,8636.5,10000,7467.5,9207.26086956522,9141.78947368421,7035.5625,9024.46666666667,6826.63636363636,2732.23529411765,3277.38888888889,6739.26666666667,7445.75,2715.06666666667,5090.45454545455,5863.41666666667,7788.66666666667,6589.5652173913,3187.27777777778,6096.73333333333,30,1,0.033333333
"Cepora perimale","Cepora perimale",NA,"BN002330_DL16V155_Pieridae_Pierinae_Pierini_Cepora_nerissa",-1052.86764705882,2988,"2988 (1).png",4962.88235294118,"flower1.jpg",3756.84803921569,6498.02777777778,18,4,30.5,"Conspicuous",72.2766952316609,2846,"2846 (1).png",6015.75,"moss1.jpg",5917.15625,8234.84632034632,30,24,60.5,"Conspicuous",74.0826164651124,1455.73684210526,1482.52631578947,1574.86666666667,2361.7,2259.04761904762,2061.5625,4962.88235294118,2458.80952380952,1522.66666666667,1375.875,1862.69230769231,3410.42857142857,2052.1875,3076.42857142857,1589.57142857143,3235.84210526316,1741.09090909091,1944.8,1709.83333333333,1439.61111111111,1601.54545454545,1910.36363636364,2299.85714285714,1453.33333333333,1642.11111111111,2381.17647058824,2159.6875,3325.85185185185,1914.375,2213,2629.81818181818,2175.5,2407.4,1777.16666666667,3513.64,1792.47368421053,3837.25,2826.57142857143,1559.125,2322.64705882353,1692.30434782609,4858.14285714286,5640.5,4328.68421052632,2645.36842105263,6015.75,6007.38888888889,2915.29411764706,2082.66666666667,2502.05263157895,5516.58823529412,1852.28571428571,3151.13333333333,2596.11111111111,2070.21052631579,2082.73684210526,3776.21052631579,5297.15384615385,1823.68421052632,2535.69230769231,50,8,0.16
"Cethosia cydippe","Cethosia cydippe",NA,"BN004321_JT10K020_Nymphalidae_Heliconiinae_Acraeini_Cethosia_cydippe",-245.047619047618,1896,"1896 (1).png",8663.95238095238,"litter1.jpg",8010.76851851852,9514.93684210526,85,54,100.5,"Cryptic",84.5062052401027,20,"20 (1).png",8909,"litter1.jpg",7502.48888888889,10000,94,46,119.5,"Cryptic",83.5024727143074,2116.41666666667,1650.21052631579,2882.85714285714,6686.22222222222,1349.1875,2264.42105263158,2691.84615384615,2594.13333333333,1558.92307692308,1706.03571428571,1450,4080.22222222222,8663.95238095238,2365.21428571429,5072.7619047619,4989.85185185185,3185.95,2016.60869565217,1620.57142857143,1791.27272727273,1786.72,1391.57142857143,2394,2253.23529411765,1440.73333333333,1978.91304347826,2162.13636363636,1342.375,1927.38888888889,2227.40909090909,2315.4375,1544.2,2264.47368421053,3902.375,2746.05555555556,2319.4,2917.4,1992.17391304348,1561.05882352941,2207.47368421053,2871.69565217391,4263.13333333333,8909,4718.53333333333,5302.45833333333,7254.35294117647,5434.22222222222,3154.6,4284.76923076923,2646.94736842105,3293.33333333333,2064.23529411765,3854.35714285714,2125.05555555556,1469.76470588235,3965.66666666667,2566,2926.78571428571,1611.57894736842,3597.125,30,10,0.333333333
"Cupha prosope","Cupha prosope",NA,"BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis",-2068.03921568628,2720,"2720 (1).png",7601.29411764706,"litter2.jpg",6757.92613636364,9110.15833333333,53,34,91.5,"Cryptic",79.8258036557243,2196,"2196 (1).png",9669.33333333333,"litter2.jpg",8809.6,10000,112,77.5,121,"Cryptic",84.8128102592388,3329.875,1553.85714285714,6575.6875,3224.42857142857,2104,2899.25,5202.28571428571,2396.47619047619,1533.5,2447.625,3161,3387.8,4570.42857142857,7601.29411764706,3604.11111111111,5407.22222222222,4126.5625,4304.31818181818,1617.05555555556,2213.6,1735.13043478261,2590.75,2058.47826086957,1909,3144.05555555556,1795.08333333333,3429.21739130435,2081.4375,2167.17647058824,2190.28571428571,3866.4,1468.5,6740.15384615385,3656.15384615385,3007.35,4978.26666666667,3997.5,1681.625,1941.04761904762,2796.38888888889,2925.22222222222,6107.52380952381,7622.95652173913,9669.33333333333,4470.27272727273,6442.4,6517.5,4536.08333333333,3220.84615384615,2846.41176470588,4630,2838.95833333333,3662,6085.61538461538,1652.94444444444,4288.81818181818,5577.71428571429,1585.2380952381,1757.5,4214.22222222222,60,29,0.483333333
"Danaus affinis","Danaus affinis",NA,"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",-443.121848739496,346,"346 (1).png",6306.23529411765,"moss2.jpg",5936.90526315789,8128.64102564103,33,24.5,57.5,"Conspicuous",76.7412738093017,1873,"1873 (1).png",6749.35714285714,"moss1.jpg",6068.90079365079,8782.88333333333,37,26.5,78,"Cryptic",78.620186049465,2684.4,1603.92307692308,2151.78947368421,3403.82352941176,4491.45,3395.88888888889,3013.54545454545,2549.89473684211,2385,1948.7619047619,1728.0625,4126.625,5721.95238095238,5116.8125,3231.94444444444,6213.79166666667,6306.23529411765,4007.9,2030.45454545455,2857.64,3259,1913.63157894737,2012.82352941176,1466.75,3096.5652173913,1603.66666666667,2618.44,5050.72222222222,2076.38461538462,3535.15,1766.2,2007.0625,2171.83333333333,3005.1875,2840.45,3677.70833333333,3800.22727272727,1831.70588235294,2085.73913043478,1634.26315789474,1443,4866.86666666667,6299.30434782609,4871.25,2307.21052631579,6749.35714285714,4205.13333333333,3556.15384615385,2900.51724137931,2913.04761904762,3524.375,2091.2,2618.96,2528.10526315789,2661.89473684211,2987,4674.38095238095,2587.5,1774.52,5760.0625,50,31,0.62
"Danaus petilia","Danaus petilia",NA,"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",-266.680555555556,3024,"3024 (1).png",7366.94444444444,"litter1.jpg",6786.92857142857,9200.64705882353,48,35.5,88.5,"Cryptic",83.267599260963,2989,"2989 (1).png",7633.625,"litter1.jpg",6344.84821428571,9189.85714285714,54,27.5,88,"Cryptic",78.1418208443377,2792.78947368421,1232.66666666667,3605.88461538462,2408.47368421053,2799.84,2517.41176470588,2450,3680.83333333333,2352.66666666667,1482,1486.78571428571,5000.92307692308,7366.94444444444,6392.42857142857,2982.78947368421,6575.47368421053,6805.90909090909,2384.9375,1421.15384615385,1427.06666666667,1973.53333333333,1332.78571428571,2263.5,2348.05263157895,1389.125,2811.85,4094.28571428571,2019.36842105263,1835.80769230769,3479.41666666667,2702.46153846154,2546.2,3753.52631578947,3495.5652173913,2881.04347826087,2299.75,4433.28571428571,1696.53333333333,1668.57142857143,2409.73684210526,2223.25,4985.75,7633.625,4347.69230769231,4008.35294117647,5478.30769230769,6049.05555555556,4362.13333333333,3770.5,1716.66666666667,2557.72222222222,2908.11111111111,2532.92307692308,2937.95833333333,1974.89473684211,3430.75,3934.82352941176,2690.94117647059,2928.14285714286,4338.66666666667,30,5,0.166666667
"Danaus plexippus","Danaus plexippus",NA,"DanausR_X_Nymphalidae_Danainae_Danaini_Danaus_plexippus",3037.83333333333,1298,"1298 (1).png",8295.5,"moss2.jpg",7499.33193277311,9662.98214285714,71,46.5,104,"Cryptic",82.9787234042553,3845,"3845 (1).png",5257.66666666667,"litter1.jpg",4886.275,7133.27272727273,22,14,40.5,"Conspicuous",68.8509297080907,4067.66666666667,2662.9375,5223.625,4539.125,3445.21739130435,3035.26666666667,6016.90909090909,3034.14285714286,1638.95,1966.5,2501.85185185185,4816.61904761905,7448.28571428571,7329.41379310345,4431.46666666667,5105.21739130435,8295.5,3784.68421052632,2211.08333333333,2931.11111111111,1412,2204.86363636364,3237.71428571429,1786.63636363636,3311.52941176471,5713.0625,3836.42857142857,2091.0625,1453.2,4572.52380952381,1951.3,2345.66666666667,3639.61111111111,3953.28571428571,3098.77777777778,2890.63157894737,3288.96428571429,2871,1929.71428571429,2248.3,2007.15,4003.1,5257.66666666667,3445.71428571429,3849.81818181818,4045.27272727273,5212.06666666667,3908,2379.26086956522,2719.3,2375.625,1809.64285714286,1933.66666666667,2081.8,1637.71428571429,3729,4421.59090909091,2023.95,1769.5,3629.75,100,33,0.33
